Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Sputnik Sweetheart,Haruki Murakami,Philip Gabriel (Translator),9780099448471,paperback,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
Raymond E. Feist's Magician Master,"Bryan J.L. Glass, Raymond E. Feist, Hugo Petrus, Tim Seeley","",,,"","","","","","","","","","","","","","","","",graphic-novels,No
Black Hammer Volume 1: Secret Origins,Jeff Lemire,"Dean Ormston (Illustrator), Dean Ormston (Illustrator), Dave Stewart (Illustrator)",9781616557867,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Born a Crime: Stories From a South African Childhood,Trevor Noah,"","",digital,"","","","","","","","","","","","","","","","",tbr-not-owned,No
"Norse Mythology: A Fascinating Guide to Understanding the Sagas, Gods, Heroes, and Beliefs of the Vikings",Matt Clayton,"",9781546642442,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Dead Rider: Crown of Souls,"Kevin Ferrara, Kevin Ferrara","",9781616557508,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Mickey7,Edward Ashton,"",9789403115726,paperback,"","","","","","","","","","","","","","","","",next,No
Supergirl Vol. 5: Red Daughter of Krypton (the New 52),"Michael Alan Nelson, Diogenes Neves","",9781401250515,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
"The Woods, Vol. 2: The Swarm","Michael Dialynas, James Tynion IV","",9781613983492,digital,"","","","","","","","","","","","","","","","",comics,No
The Stolen Bicycle,Ming-Yi Wu,Darryl Sterk (Translator),9781925498554,paperback,"","","","","","","","","","","","","","","","",asian-literature,No
The Score Takes Care of Itself,Bill Walsh,"",9781591842668,digital,"","","","","","","","","","","","","","","","",tbr-not-owned,No
One Undead Step,Ian McClellan,"",,,"","","","","","","","","","","","","","","","",all-tbr,No
"Storm Front, Volume 1: The Gathering Storm",Jim Butcher,"Mark Powers (Contributor), Ardian Syaf (Illustrator)",9780345506399,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Fall to Earth,Ken Britz,"",,,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Keeper of Enchanted Rooms,Charlie N. Holmberg,"Amanda Leigh Cobb (Narrator), Graham Halstead (Narrator), Nicholas Boulton (Narrator)",9781713663621,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Kipnuk Has a Birthday,Heather Wolf,"",9781497385863,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
The Stroke of Winter,Wendy Webb,"",9781542037600,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Low, Volume 1: The Delirium of Hope",Rick Remender,"",9781632151940,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Infernal Devices,K.W. Jeter,"",9780857660978,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Skyward,Brandon Sanderson,"",9781473217850,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Psalm for the Wild-Built,Becky Chambers,"",9781250236210,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Bellweather Rhapsody,Kate Racculia,"",9780544483910,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Hollow Places,T. Kingfisher,Lyssa Browne (Narrator),"",audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Spirited Manor,Kate Danley,"",9781718145009,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Turn of the Screw,Henry James,"",9780141441351,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Through a Darkening Glass,R.S. Maxwell,"",B09NNHN5LY,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The German Midwife,Mandy Robotham,"",,audio,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
City of Thieves,David Benioff,"",9781440630583,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
CatStronauts: Mission Moon,Drew Brockington,"",9780316307475,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
"The Science of Overcoming Procrastination: How to Be Disciplined, Break Inertia, Manage Your Time, and Be Productive. Get Off Your Butt and Get Things Done!",Patrick King,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Forever and a Death,Donald E. Westlake,"",9781785654237,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Ember Falls,S.D. Smith,Zach Franzen (Illustrator),"",digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Heritage of Cyador,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Arms-Commander,L.E. Modesitt Jr.,"",9780765363534,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Dust,Hugh Howey,Tim Gerard Reynolds (Narrator),9781480598348,audio,"","","","","","","","","","","","","","","","",next,No
Merlin's Dragon,T.A. Barron,"",9780399247507,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Kaelia Awakening,Gina Dickerson,"",,,"","","","","","","","","","","","","","","","",all-tbr,No
Little Women,Louisa May Alcott,"",9780140350081,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Haze,L.E. Modesitt Jr.,"",B002LA0AJS,digital,"","","","","","","","","","","","","","","","",humble-bundle,Yes
One Thousand White Women: The Journals of May Dodd,Jim Fergus,"",9780312180089,hardcover,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"Disney Frankenstein, starring Donald Duck","Fabio Celoni, The Walt Disney Company, Bruno Enna",The Walt Disney Company (Illustrator),,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Joys of Travel: And Stories That Illuminate Them,Thomas Swick,"",9781634508216,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Spellslinger,Sebastien de Castell,"",9781785761317,hardcover,"","","","","","","","","","","","","","","","",interested,No
Legacies,L.E. Modesitt Jr.,"","",hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Mad Apprentice,Django Wexler,"",9780803739765,hardcover,"","","","","","","","","","","","","","","","",interested,No
"The Woods, Vol. 1: The Arrow",James Tynion IV,Michael Dialynas (Illustrator),9781608864546,paperback,"","","","","","","","","","","","","","","","",comics,No
Doctor Who: The Ninth Doctor Vol. 1: Weapons of Past Destruction,Cavan Scott,"",9781782763369,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Starswept,Mary Fan,"",9781946202260,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Swords of Sorrow #1,"Sergio Fernandez Dávila, Gail Simone",Gail Simone (Illustrator),,digital,"","","","","","","","","","","","","","","","",graphic-novels,No
"Castle Waiting, Vol. 1",Linda Medley,Jane Yolen,9781560977476,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Tropical Punch,S.C. Jensen,"",1990306004,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Lunar Discovery: Let the Space Race Begin,Salvador Mercer,"",B014IEFS8M,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Tongue,Kyung-ran Jo,Chi-Young Kim,9781596916517,paperback,"","","","","","","","","","","","","","","","","korean-literature, asian-literature",No
The Inugami Clan,Seishi Yokomizo,Yumiko Yamazaki,9781933330310,paperback,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
The Wonderful Wizard of Oz,Eric Shanower,Skottie Young (Illustrator),9780785129219,hardcover,"","","","","","","","","","","","","","","","",comics,No
The Compleat Enchanter,L. Sprague de Camp,Fletcher Pratt,9780345314352,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Flights,Olga Tokarczuk,Jennifer Croft (Translator),9780525534198,hardcover,"","","","","","","","","","","","","","","","",interested,No
Welcome to Cooper,Tariq Ashkanani,"",9781542031271,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Flights and Chimes and Mysterious Times,Emma Trevayne,"",9781442498778,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Lady-Protector,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
"Essential Howard the Duck, Vol. 1","Frank Brunner, Carmine Infantino, Val Mayerik, John Buscema, Gene Colan, Steve Gerber, Sal Buscema","",,,"","","","","","","","","","","","","","","","",graphic-novels,No
The Time Machine,H.G. Wells,"",9781602838154,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Howard the Duck Omnibus,Steve Gerber,"John Buscema, Frank Brunner, Gene Colan, Carmine Infantino, Val Mayerik",9780785130239,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Fleur de Lies,Maddy Hunter,"",,,"","","","","","","","","","","","","","","","",all-tbr,No
"Disney Hamlet, starring Donald Duck","The Walt Disney Company, The Walt Disney Company","",,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Daemoniac,Kat Ross,"",9780997236255,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Poison Song,Jen Williams,"",9781472235220,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Castle in the Air,Donald E. Westlake,"",9781785657221,paperback,"","","","","","","","","","","","","","","","","",Yes
Blood Rites,Jim Butcher,"",9780356500324,paperback,"","","","","","","","","","","","","","","","","",Yes
"Konosuba: God's Blessing on This Wonderful World!, Vol. 9: Crimson Fate",Natsume Akatsuki,"Kurone Mishima (Illustrator), Kevin Steinbach (Translator)",9781975385033,paperback,"","","","","","","","","","","","","","","","","",Yes
"Until the End of Time: Mind, Matter, and Our Search for Meaning in an Evolving Universe",Brian Greene,"",9781524731670,hardcover,"","","","","","","","","","","","","","","","","",Yes
