Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"Here, There Be Dragons",James A. Owen,James A. Owen (Illustrator),9781416912279,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Children of Time,Adrian Tchaikovsky,"",9781447273288,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Tiger's Daughter,K. Arsenault Rivera,"",9780765392534,paperback,"","","","","","","","","","","","","","","","",interested,No
The Pretenders,Charlaine Harris,"Christopher Golden, Don Kramer, Danielle Rudoni, Jacob Bascle",9780425256664,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
The Inheritance of Orquídea Divina,Zoraida Córdova,"",9781982102548,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
"Shutter, Vol. 1: Wanderlost",Joe Keatinge,"Owen Gieni (Illustrator), Leila del Duca (Illustrator)",9781632151452,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Impossible Fairy Tale,Han Yujoo,Janet Hong (Translator),9781555977665,paperback,"","","","","","","","","","","","","","","","","korean-literature, asian-literature",No
Silverhair,Stephen Baxter,"",9780061020209,paperback,"","","","","","","","","","","","","","","","",animals,No
Abbott,Saladin Ahmed,Sami Kivela (Illustrator),9781684152452,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
I'll Stop the World,Lauren Thoman,"",9781662509971,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Invent and Wander: The Collected Writings of Jeff Bezos, with an Introduction by Walter Isaacson","","",9781647820718,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Quantum Shadows,L.E. Modesitt Jr.,"",9781250229205,hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Six-Gun Gorilla,Simon Spurrier,Jeff Stokely (Illustrator),9781608863907,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
"Perry Rhodan Neo 1 ""Sternenstaub"" Leseprobe",Frank Borsch,"","",digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Complete Works,Aristotle,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Mystery Boxes,Kazu Kibuishi,"",9781419700101,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
The Quarter Storm,Veronica G. Henry,"",9781542033916,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Index, A History of the: A Bookish Adventure from Medieval Manuscripts to the Digital Age",Dennis Duncan,"",9781324002543,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Last Daughter of Krypton,"Mike Johnson, Michael Green",Mahmud Asrar (Illustrator),9781401236809,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Thin Man,Dashiell Hammett,"",9780307767509,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Play it Again: An Amateur Against the Impossible,Alan Rusbridger,"",9780374232917,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Soul Relic,Samuel Hinton,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Hammer of Darkness,L.E. Modesitt Jr.,"",9780765315670,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Rat Queens Volume 1: Sass & Sorcery,Kurtis J. Wiebe,"Roc Upchurch (Illustrator), Ed Brisson (Illustrator)",9781607069454,paperback,"","","","","","","","","","","","","","","","","graphic-novels, interested",No
The Peacekeeper,B.L. Blanchard,"",9781713649977,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Rabbit and the Raven: Book Two in the Solas Beir Trilogy,Melissa Eskue Ousley,"",9781938281358,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
"The Woods, Vol. 8: The Final War","Michael Dialynas, Ed Dukeshire, James Tynion IV","","",,"","","","","","","","","","","","","","","","",comics,No
A Tale for the Time Being,Ruth Ozeki,"",9780670026630,hardcover,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
The Night Burns Bright,"Ross Barkan, Ross Barkan","",9781542037150,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll,"",,,"","","","","","","","","","","","","","","","","library, tbr-not-owned",No
Fables of the Reconstruction,Jez Jones,"",,,"","","","","","","","","","","","","","","","",all-tbr,No
Moonflower Murders,Anthony Horowitz,"",9780062955463,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Golden Twine,Jo Rioux,"",9781554536375,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Six Crimson Cranes,Elizabeth Lim,"",9781399713917,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Marlow Murder Club,Robert Thorogood,"",9780008238247,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Nikola Tesla: Imagination and the Man That Invented the 20th Century,Sean Patrick,"",,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Wesley the Owl: The Remarkable Love Story of an Owl and His Girl,Stacey O'Brien,"",9781416551737,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Daughter of the Moon Goddess,Sue Lynn Tan,"",9780063031302,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,"",9780735210653,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Skullkickers Treasure Trove Volume 1,Jim Zubkavich,"",9781607063742,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Perry - unser Mann im All 131: Heisser Tanz auf Terra: Perry Rhodan Comic,Kai Hirdt,"Christian Hillmann, Karl Nagel",9783868767315,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Most Beautiful Insanity: South Beach Crime Thriller, Book One",Heather Wilde,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Brothers Keepers,Donald E. Westlake,"",9781785657153,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Idylls of the King,Alfred Tennyson,"",9780140422535,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
